"name","sku","memory_capacity","memory_speed","dram_module_brand"
"Nanya DDR2 1GB 1024MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110119055604","1GB","","Nanya"
"Nanya DDR2 1GB 1024MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110119055605","1GB","","Nanya"
"Nanya DDR2 1GB 1024MB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110119055606","1GB","","Nanya"
"Nanya DDR2 2GB 2048MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110119055608","2GB","","Nanya"
"Nanya DDR2 2GB 2048MB PC2-6400S 800MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110119055609","2GB","","Nanya"
"Nanya DDR2 4GB 4096MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110119055610","4GB","","Nanya"
"Nanya DDR3 2GB 2048MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 204pin Notebook 8ic","osst-20110119055635","2GB","","Nanya"
"Nanya DDR3 2GB 2048MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook 8ic","osst-20110119055636","2GB","","Nanya"
"Nanya DDR3 4GB 4096MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20110119055637","4GB","","Nanya"
"Nanya DDR3 4GB 4096MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20110119055638","4GB","","Nanya"
"Nanya DDR3 1GB 1024MB PC3-8500S 1066MHz Lodimm Desktop Memory DRAM 240pin","osst-20110119055639","1GB","","Nanya"
"Nanya DDR3 1GB 1024MB PC3-10600S 1333MHz Lodimm Desktop Memory DRAM 240pin","osst-20110119055640","1GB","","Nanya"
"Nanya DDR3 2GB 2048MB PC3-8500S 1066MHz Lodimm Desktop Memory DRAM 240pin","osst-20110119055641","2GB","","Nanya"
"Nanya DDR3 2GB 2048MB PC3-10600S 1333MHz Lodimm Desktop Memory DRAM 240pin","osst-20110119055642","2GB","","Nanya"
"Nanya DDR3 4GB 4096MB PC3-8500S 1066MHz Lodimm Desktop Memory DRAM 240pin","osst-20110119055643","4GB","","Nanya"
"Nanya DDR3 4GB 4096MB PC3-10600S 1333MHz Lodimm Desktop Memory DRAM 240pin","osst-20110119055644","4GB","","Nanya"
"Elixir DDR1 256MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110122045857","256MB","PC-2100 / 266Mhz","Blank"
"Elixir DDR1 256MB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110122050105","256MB","","Blank"
"Nanya DDR2 4GB 4096MB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110124031647","4GB","","Nanya"
"Nanya DDR2 4GB 4096MB PC2-6400S 800MHz Lodimm Desktop Memory DRAM 240pin","osst-20110124031905","4GB","","Nanya"
"elixir DDR3 2GB 2048MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 204pin Notebook 8ic","osst-20110124032405","2GB","","Blank"
"elixir DDR3 2GB 2048MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook 8ic","osst-20110124032909","2GB","","Blank"
"elixir DDR3 4GB 4096MB PC3-8500S 1066MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20110124033121","4GB","","Blank"
"elixir DDR3 4GB 4096MB PC3-10600S 1333MHz Sodimm Laptop Memory DRAM 204pin Notebook","osst-20110124033322","4GB","","Blank"
"elixir DDR3 1GB 1024MB PC3-8500S 1066MHz Lodimm Desktop Memory DRAM 240pin","osst-20110124033619","1GB","","Blank"
"elixir DDR3 2GB 2048MB PC3-8500S 1066MHz Lodimm Desktop Memory DRAM 240pin","osst-20110124033848","2GB","","Blank"
"elixir DDR3 1GB 1024MB PC3-10600S 1333MHz Lodimm Desktop Memory DRAM 240pin","osst-20110124034111","1GB","","Blank"
"elixir DDR3 2GB 2048MB PC3-10600S 1333MHz Lodimm Desktop Memory DRAM 240pin","osst-20110124034242","2GB","","Blank"
"elixir DDR3 4GB 4096MB PC3-8500S 1066MHz Lodimm Desktop Memory DRAM 240pin","osst-20110124034455","4GB","","Blank"
"elixir DDR3 4GB 4096MB PC3-10600S 1333MHz Lodimm Desktop Memory DRAM 240pin","osst-20110124034640","4GB","","Blank"
"Qimonda DDR1 2GB 2048MB PC 2100R 266MHz Server Memory ECC REG 184pin","osst-20110126034641","2GB","","Blank"
"Qimonda DDR1 2GB 2048MB PC 3200R 400MHz Server Memory ECC REG 184pin","osst-20110126034643","2GB","","Blank"
"Elpida DDR1 1GB 1024MB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin","osst-20110318073311","1GB","","Blank"
"Hynix DDR1 PC 2700R 333 Server Memory DRAM ECC REG 512MB","osst-20110325031148","512MB","","Blank"
"Hynix DDR1 PC 2700 333 Server DRAM RAM ECC Memory 512MB","osst-20110325031634","512MB","","Blank"
"Elpida DDR1 256MB PC 2700S 333MHz Memory DRAM Lo dimm  Desktop 184Pin","osst-20110325035059","256MB","","Blank"
"Elpida DDR1 256MB PC 2100S 266MHz Memory DRAM Lodimm Desktop 184pin","osst-20110325040022","256MB","","Blank"
"Hynix DDR2 4GB 4096MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110505035926","4GB","","Blank"
"Hynix DDR2 2GB 2048MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110505041902","2GB","","Blank"
"Hynix DDR2 4GB 4096MB PC2-4200S 533MHz Lodimm Desktop Memory DRAM 240pin","osst-20110505071748","4GB","","Blank"
"Hynix DDR1 256MB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin","osst-20110505072413","256MB","","Blank"
"Hynix DDR1 512MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin","osst-20110505072808","512MB","","Blank"
"Hynix DDR1 512MB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin","osst-20110505073327","512MB","","Blank"
"Hynix DDR1 1GB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin","osst-20110505073516","1GB","","Blank"
"Hynix DDR1 1GB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin","osst-20110505074049","1GB","","Blank"
"Hynix DDR1 1GB PC 3200S 400MHz Sodimm Laptop Memory DRAM 200pin","osst-20110505074339","1GB","","Blank"
"Hynix DDR2 512MB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin","osst-20110505075258","512MB","","Blank"
"Elpida DDR1 256MB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110505093034","256MB","","Blank"
"Elpida DDR1 512MB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110505102842","512MB","","Blank"
"Elpida DDR1 512MB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110506023015","512MB","","Blank"
